"","Key","Anno","Mese","P1","P2","Total"
"1","Zona_1-Area_1-Sottoarea_5",2014,1,224,76,300
"2","Zona_1-Area_1-Sottoarea_5",2014,2,220,98,318
"3","Zona_1-Area_1-Sottoarea_5",2014,3,162,99,261
"4","Zona_1-Area_1-Sottoarea_5",2014,4,184,119,303
"5","Zona_1-Area_1-Sottoarea_5",2014,5,192,98,290
"6","Zona_1-Area_1-Sottoarea_5",2014,6,176,77,253
"7","Zona_1-Area_1-Sottoarea_5",2014,7,203,84,287
"8","Zona_1-Area_1-Sottoarea_5",2014,8,152,73,225
"9","Zona_1-Area_1-Sottoarea_5",2014,9,190,92,282
"10","Zona_1-Area_1-Sottoarea_5",2014,10,252,117,369
"11","Zona_1-Area_1-Sottoarea_5",2014,11,235,118,353
"12","Zona_1-Area_1-Sottoarea_5",2014,12,195,102,297
"13","Zona_1-Area_1-Sottoarea_5",2015,1,199,88,287
"14","Zona_1-Area_1-Sottoarea_5",2015,2,195,118,313
"15","Zona_1-Area_1-Sottoarea_5",2015,3,219,101,320
"16","Zona_1-Area_1-Sottoarea_5",2015,4,196,108,304
"17","Zona_1-Area_1-Sottoarea_5",2015,5,175,100,275
"18","Zona_1-Area_1-Sottoarea_5",2015,6,185,82,267
"19","Zona_1-Area_1-Sottoarea_5",2015,7,210,91,301
"20","Zona_1-Area_1-Sottoarea_5",2015,8,165,71,236
"21","Zona_1-Area_1-Sottoarea_5",2015,9,235,84,319
"22","Zona_1-Area_1-Sottoarea_5",2015,10,227,90,317
"23","Zona_1-Area_1-Sottoarea_5",2015,11,214,92,306
"24","Zona_1-Area_1-Sottoarea_5",2015,12,206,81,287
"25","Zona_1-Area_1-Sottoarea_5",2016,1,212,72,284
"26","Zona_1-Area_1-Sottoarea_5",2016,2,228,105,333
"27","Zona_1-Area_1-Sottoarea_5",2016,3,240,104,344
"28","Zona_1-Area_1-Sottoarea_5",2016,4,215,99,314
"29","Zona_1-Area_1-Sottoarea_5",2016,5,120,59,179
"30","Zona_1-Area_1-Sottoarea_5",2016,6,0,0,0
"31","Zona_1-Area_1-Sottoarea_5",2016,7,0,0,0
"32","Zona_1-Area_1-Sottoarea_5",2016,8,0,0,0
"33","Zona_1-Area_1-Sottoarea_5",2016,9,0,0,0
"34","Zona_1-Area_1-Sottoarea_5",2016,10,0,0,0
"35","Zona_1-Area_1-Sottoarea_5",2016,11,0,0,0
"36","Zona_1-Area_1-Sottoarea_5",2016,12,0,0,0
"37","Zona_1-Area_1-Sottoarea_6",2014,1,27,9,36
"38","Zona_1-Area_1-Sottoarea_6",2014,2,32,13,45
"39","Zona_1-Area_1-Sottoarea_6",2014,3,23,8,31
"40","Zona_1-Area_1-Sottoarea_6",2014,4,29,14,43
"41","Zona_1-Area_1-Sottoarea_6",2014,5,24,4,28
"42","Zona_1-Area_1-Sottoarea_6",2014,6,27,9,36
"43","Zona_1-Area_1-Sottoarea_6",2014,7,35,7,42
"44","Zona_1-Area_1-Sottoarea_6",2014,8,21,5,26
"45","Zona_1-Area_1-Sottoarea_6",2014,9,24,8,32
"46","Zona_1-Area_1-Sottoarea_6",2014,10,34,12,46
"47","Zona_1-Area_1-Sottoarea_6",2014,11,28,17,45
"48","Zona_1-Area_1-Sottoarea_6",2014,12,26,11,37
"49","Zona_1-Area_1-Sottoarea_6",2015,1,30,2,32
"50","Zona_1-Area_1-Sottoarea_6",2015,2,26,9,35
"51","Zona_1-Area_1-Sottoarea_6",2015,3,30,12,42
"52","Zona_1-Area_1-Sottoarea_6",2015,4,24,10,34
"53","Zona_1-Area_1-Sottoarea_6",2015,5,22,19,41
"54","Zona_1-Area_1-Sottoarea_6",2015,6,24,8,32
"55","Zona_1-Area_1-Sottoarea_6",2015,7,22,6,28
"56","Zona_1-Area_1-Sottoarea_6",2015,8,21,5,26
"57","Zona_1-Area_1-Sottoarea_6",2015,9,25,13,38
"58","Zona_1-Area_1-Sottoarea_6",2015,10,20,12,32
"59","Zona_1-Area_1-Sottoarea_6",2015,11,19,7,26
"60","Zona_1-Area_1-Sottoarea_6",2015,12,24,13,37
"61","Zona_1-Area_1-Sottoarea_6",2016,1,22,7,29
"62","Zona_1-Area_1-Sottoarea_6",2016,2,27,16,43
"63","Zona_1-Area_1-Sottoarea_6",2016,3,24,14,38
"64","Zona_1-Area_1-Sottoarea_6",2016,4,29,11,40
"65","Zona_1-Area_1-Sottoarea_6",2016,5,14,3,17
"66","Zona_1-Area_1-Sottoarea_6",2016,6,0,0,0
"67","Zona_1-Area_1-Sottoarea_6",2016,7,0,0,0
"68","Zona_1-Area_1-Sottoarea_6",2016,8,0,0,0
"69","Zona_1-Area_1-Sottoarea_6",2016,9,0,0,0
"70","Zona_1-Area_1-Sottoarea_6",2016,10,0,0,0
"71","Zona_1-Area_1-Sottoarea_6",2016,11,0,0,0
"72","Zona_1-Area_1-Sottoarea_6",2016,12,0,0,0
"73","Zona_1-Area_2-Sottoarea_7",2014,1,80,29,109
"74","Zona_1-Area_2-Sottoarea_7",2014,2,73,30,103
"75","Zona_1-Area_2-Sottoarea_7",2014,3,52,25,77
"76","Zona_1-Area_2-Sottoarea_7",2014,4,58,26,84
"77","Zona_1-Area_2-Sottoarea_7",2014,5,63,34,97
