"data","prod","zona","area","sottoarea","key","latitudine","longitudine"
2016-05-20,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-21,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-22,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-23,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-24,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-25,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-26,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-27,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-28,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-29,1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-20,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-21,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-22,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-23,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-24,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-25,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-26,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-27,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-28,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-29,2,1,1,5,"1-1-5",42.4990729575758,13.7617083090909
2016-05-20,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-21,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-22,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-23,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-24,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-25,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-26,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-27,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-28,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-29,1,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-20,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-21,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-22,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-23,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-24,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-25,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-26,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-27,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-28,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-29,2,1,1,6,"1-1-6",42.0110725,13.4630063571429
2016-05-20,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-21,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-22,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-23,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-24,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-25,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-26,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-27,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-28,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-29,1,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-20,2,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-21,2,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-22,2,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-23,2,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-24,2,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-25,2,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
2016-05-26,2,1,2,7,"1-2-7",42.3167516511628,14.2181936046512
