"data","prod","zona","area","sottoarea","key","latitudine","longitudine","giorno_mese","giorno_sett","giorno_anno","mese","settimana_anno","anno","weekend","stagione","primo_del_mese","vendite_giorn_prod"
"2016-05-20",1,1,1,5,"1-1-5",42.4990729575758,13.7617083090909,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,17,47,102,"17-47-102",40.1342795641026,18.2224671880342,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,16,44,91,"16-44-91",45.7306265188285,8.35687324267782,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,15,41,90,"15-41-90",40.9050967333333,14.4749858888889,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,14,38,79,"14-38-79",45.4881155,9.20217675,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,3,6,33,"3-6-33",38.9520133939394,16.6400211515151,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,14,36,73,"14-36-73",45.395908,9.1832491,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,13,33,10,"13-33-10",43.5490130625,13.17461525,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,11,30,83,"11-30-83",45.6653393157895,9.21861336842105,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,17,45,13,"17-45-13",41.004753673913,16.996119326087,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,10,24,28,"10-24-28",45.704546112782,10.2623443458647,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,8,22,60,"8-22-60",41.6953395263158,12.7563614315789,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,8,19,54,"8-19-54",42.0326712380952,12.4445014761905,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,23,64,127,"23-64-127",43.4708430824176,11.683820543956,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,6,14,107,"6-14-107",44.1231542619048,12.0036352380952,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,5,10,97,"5-10-97",44.807995488,9.71154352000001,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,4,8,39,"4-8-39",41.0668097027027,14.8280600135135,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,20,56,104,"20-56-104",37.0343246,15.12430735,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,9,27,61,"9-27-61",44.3109696052632,9.52927073026316,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,2,4,18,"2-4-18",40.3498557642857,15.2505059857143,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,1,1,6,"1-1-6",42.0110725,13.4630063571429,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,18,48,108,"18-48-108",41.920350875,12.463586125,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
"2016-05-20",1,5,11,105,"5-11-105",44.5512255555556,10.616070496732,20,5,141,5,21,2016,0,"primavera",0,751.907787779668
