"","Zona","Area","Sottoarea","Categoria_prodotto","Data","Vendite","Key","GiornoDelMese","GiorniDellaSettimana","GiornoDellAnno","Mese","Anno"
"190467","Zona_3","Area_5","Sottoarea_32","Prodotto_1","2016-03-17",1,"Zona_3-Area_5-Sottoarea_32",17,5,77,3,2016
"5411","Zona_1","Area_2","Sottoarea_8","Prodotto_1","2014-07-10",4,"Zona_1-Area_2-Sottoarea_8",10,5,191,7,2014
"19936","Zona_11","Area_29","Sottoarea_46","Prodotto_1","2016-03-06",0,"Zona_11-Area_29-Sottoarea_46",6,1,66,3,2016
"65906","Zona_16","Area_42","Sottoarea_3","Prodotto_2","2015-10-18",0,"Zona_16-Area_42-Sottoarea_3",18,1,291,10,2015
"245682","Zona_9","Area_27","Sottoarea_61","Prodotto_1","2014-12-08",0,"Zona_9-Area_27-Sottoarea_61",8,2,342,12,2014
"195105","Zona_3","Area_6","Sottoarea_35","Prodotto_1","2014-08-13",4,"Zona_3-Area_6-Sottoarea_35",13,4,225,8,2014
"248319","Zona_9","Area_28","Sottoarea_62","Prodotto_2","2015-01-04",1,"Zona_9-Area_28-Sottoarea_62",4,1,4,1,2015
"184318","Zona_27","Area_73","Sottoarea_143","Prodotto_2","2016-01-18",1,"Zona_27-Area_73-Sottoarea_143",18,2,18,1,2016
"153647","Zona_23","Area_62","Sottoarea_124","Prodotto_1","2015-06-11",8,"Zona_23-Area_62-Sottoarea_124",11,5,162,6,2015
"77579","Zona_17","Area_45","Sottoarea_14","Prodotto_2","2014-05-29",1,"Zona_17-Area_45-Sottoarea_14",29,5,149,5,2014
"134696","Zona_21","Area_58","Sottoarea_95","Prodotto_1","2015-12-17",4,"Zona_21-Area_58-Sottoarea_95",17,5,351,12,2015
"227769","Zona_7","Area_16","Sottoarea_100","Prodotto_2","2015-11-30",2,"Zona_7-Area_16-Sottoarea_100",30,2,334,11,2015
"191409","Zona_3","Area_6","Sottoarea_33","Prodotto_1","2014-01-09",1,"Zona_3-Area_6-Sottoarea_33",9,5,9,1,2014
"124361","Zona_20","Area_55","Sottoarea_69","Prodotto_1","2016-03-31",6,"Zona_20-Area_55-Sottoarea_69",31,5,91,3,2016
"168518","Zona_25","Area_60","Sottoarea_26","Prodotto_2","2015-08-31",1,"Zona_25-Area_60-Sottoarea_26",31,2,243,8,2015
"30546","Zona_13","Area_33","Sottoarea_10","Prodotto_2","2014-04-06",0,"Zona_13-Area_33-Sottoarea_10",6,1,96,4,2014
"127818","Zona_20","Area_56","Sottoarea_104","Prodotto_1","2016-03-08",4,"Zona_20-Area_56-Sottoarea_104",8,3,68,3,2016
"102995","Zona_19","Area_52","Sottoarea_118","Prodotto_1","2014-12-01",3,"Zona_19-Area_52-Sottoarea_118",1,2,335,12,2014
"186679","Zona_3","Area_5","Sottoarea_30","Prodotto_1","2015-05-14",5,"Zona_3-Area_5-Sottoarea_30",14,5,134,5,2015
"175938","Zona_27","Area_72","Sottoarea_92","Prodotto_1","2014-07-17",7,"Zona_27-Area_72-Sottoarea_92",17,5,198,7,2014
"119856","Zona_20","Area_54","Sottoarea_41","Prodotto_2","2015-10-28",2,"Zona_20-Area_54-Sottoarea_41",28,4,301,10,2015
"32589","Zona_13","Area_33","Sottoarea_9","Prodotto_2","2015-02-03",2,"Zona_13-Area_33-Sottoarea_9",3,3,34,2,2015
"159320","Zona_23","Area_64","Sottoarea_127","Prodotto_2","2014-04-20",0,"Zona_23-Area_64-Sottoarea_127",20,1,110,4,2014
"219535","Zona_6","Area_13","Sottoarea_50","Prodotto_1","2014-10-22",11,"Zona_6-Area_13-Sottoarea_50",22,4,295,10,2014
"94227","Zona_18","Area_50","Sottoarea_113","Prodotto_1","2014-09-24",13,"Zona_18-Area_50-Sottoarea_113",24,4,267,9,2014
"18559","Zona_11","Area_29","Sottoarea_45","Prodotto_2","2014-10-16",2,"Zona_11-Area_29-Sottoarea_45",16,5,289,10,2014
"226630","Zona_7","Area_16","Sottoarea_100","Prodotto_1","2015-03-06",7,"Zona_7-Area_16-Sottoarea_100",6,6,65,3,2015
"191449","Zona_3","Area_6","Sottoarea_33","Prodotto_1","2014-02-18",2,"Zona_3-Area_6-Sottoarea_33",18,3,49,2,2014
"39111","Zona_14","Area_35","Sottoarea_71","Prodotto_1","2016-04-10",0,"Zona_14-Area_35-Sottoarea_71",10,1,101,4,2016
"78490","Zona_17","Area_46","Sottoarea_52","Prodotto_1","2014-07-09",6,"Zona_17-Area_46-Sottoarea_52",9,4,190,7,2014
"119449","Zona_20","Area_54","Sottoarea_41","Prodotto_2","2014-09-16",1,"Zona_20-Area_54-Sottoarea_41",16,3,259,9,2014
"207598","Zona_5","Area_10","Sottoarea_97","Prodotto_1","2015-06-22",5,"Zona_5-Area_10-Sottoarea_97",22,2,173,6,2015
"236911","Zona_8","Area_20","Sottoarea_56","Prodotto_1","2014-09-28",0,"Zona_8-Area_20-Sottoarea_56",28,1,271,9,2014
"34403","Zona_13","Area_34","Sottoarea_64","Prodotto_2","2015-04-18",4,"Zona_13-Area_34-Sottoarea_64",18,7,108,4,2015
"64608","Zona_16","Area_42","Sottoarea_3","Prodotto_1","2014-08-16",0,"Zona_16-Area_42-Sottoarea_3",16,7,228,8,2014
"46218","Zona_14","Area_37","Sottoarea_75","Prodotto_2","2014-04-18",2,"Zona_14-Area_37-Sottoarea_75",18,6,108,4,2014
"167324","Zona_25","Area_60","Sottoarea_26","Prodotto_1","2014-10-11",1,"Zona_25-Area_60-Sottoarea_26",11,7,284,10,2014
"197776","Zona_4","Area_7","Sottoarea_36","Prodotto_2","2014-10-13",3,"Zona_4-Area_7-Sottoarea_36",13,2,286,10,2014
"172033","Zona_25","Area_61","Sottoarea_144","Prodotto_2","2015-10-05",4,"Zona_25-Area_61-Sottoarea_144",5,2,278,10,2015
"151960","Zona_23","Area_62","Sottoarea_123","Prodotto_1","2015-08-03",4,"Zona_23-Area_62-Sottoarea_123",3,2,215,8,2015
"78609","Zona_17","Area_46","Sottoarea_52","Prodotto_1","2014-11-05",6,"Zona_17-Area_46-Sottoarea_52",5,4,309,11,2014
"164879","Zona_24","Area_66","Sottoarea_130","Prodotto_2","2015-03-25",4,"Zona_24-Area_66-Sottoarea_130",25,4,84,3,2015
"53749","Zona_14","Area_38","Sottoarea_79","Prodotto_2","2015-11-10",1,"Zona_14-Area_38-Sottoarea_79",10,3,314,11,2015
"121555","Zona_20","Area_54","Sottoarea_42","Prodotto_2","2015-09-17",3,"Zona_20-Area_54-Sottoarea_42",17,5,260,9,2015
"116694","Zona_2","Area_4","Sottoarea_20","Prodotto_1","2014-04-24",0,"Zona_2-Area_4-Sottoarea_20",24,5,114,4,2014
"187395","Zona_3","Area_5","Sottoarea_30","Prodotto_2","2014-12-11",1,"Zona_3-Area_5-Sottoarea_30",11,5,345,12,2014
"92394","Zona_18","Area_50","Sottoarea_112","Prodotto_1","2014-06-23",3,"Zona_18-Area_50-Sottoarea_112",23,2,174,6,2014
"30698","Zona_13","Area_33","Sottoarea_10","Prodotto_2","2014-09-05",2,"Zona_13-Area_33-Sottoarea_10",5,6,248,9,2014
"191615","Zona_3","Area_6","Sottoarea_33","Prodotto_1","2014-08-03",0,"Zona_3-Area_6-Sottoarea_33",3,1,215,8,2014
"248465","Zona_9","Area_28","Sottoarea_62","Prodotto_2","2015-05-30",2,"Zona_9-Area_28-Sottoarea_62",30,7,150,5,2015
"226030","Zona_7","Area_15","Sottoarea_21","Prodotto_2","2015-12-01",4,"Zona_7-Area_15-Sottoarea_21",1,3,335,12,2015
"60731","Zona_15","Area_40","Sottoarea_88","Prodotto_2","2015-12-02",9,"Zona_15-Area_40-Sottoarea_88",2,4,336,12,2015
"10708","Zona_10","Area_24","Sottoarea_28","Prodotto_1","2014-09-25",12,"Zona_10-Area_24-Sottoarea_28",25,5,268,9,2014
"55577","Zona_15","Area_39","Sottoarea_85","Prodotto_2","2016-02-06",1,"Zona_15-Area_39-Sottoarea_85",6,7,37,2,2016
"84937","Zona_17","Area_47","Sottoarea_102","Prodotto_2","2015-07-01",2,"Zona_17-Area_47-Sottoarea_102",1,4,182,7,2015
"9100","Zona_10","Area_23","Sottoarea_23","Prodotto_1","2015-02-04",6,"Zona_10-Area_23-Sottoarea_23",4,4,35,2,2015
"118439","Zona_20","Area_54","Sottoarea_41","Prodotto_1","2014-04-29",4,"Zona_20-Area_54-Sottoarea_41",29,3,119,4,2014
"199897","Zona_4","Area_7","Sottoarea_37","Prodotto_2","2015-10-29",4,"Zona_4-Area_7-Sottoarea_37",29,5,302,10,2015
"27170","Zona_12","Area_31","Sottoarea_44","Prodotto_2","2014-07-19",1,"Zona_12-Area_31-Sottoarea_44",19,7,200,7,2014
"94728","Zona_18","Area_50","Sottoarea_113","Prodotto_1","2016-02-07",0,"Zona_18-Area_50-Sottoarea_113",7,1,38,2,2016
"115984","Zona_2","Area_4","Sottoarea_19","Prodotto_2","2014-10-01",1,"Zona_2-Area_4-Sottoarea_19",1,4,274,10,2014
"92948","Zona_18","Area_50","Sottoarea_112","Prodotto_1","2015-12-29",3,"Zona_18-Area_50-Sottoarea_112",29,3,363,12,2015
"167251","Zona_25","Area_60","Sottoarea_26","Prodotto_1","2014-07-30",4,"Zona_25-Area_60-Sottoarea_26",30,4,211,7,2014
"74675","Zona_16","Area_44","Sottoarea_91","Prodotto_2","2015-12-26",0,"Zona_16-Area_44-Sottoarea_91",26,7,360,12,2015
"118543","Zona_20","Area_54","Sottoarea_41","Prodotto_1","2014-08-11",2,"Zona_20-Area_54-Sottoarea_41",11,2,223,8,2014
"76210","Zona_17","Area_45","Sottoarea_13","Prodotto_2","2015-06-04",7,"Zona_17-Area_45-Sottoarea_13",4,5,155,6,2015
"178655","Zona_27","Area_72","Sottoarea_93","Prodotto_2","2014-11-01",0,"Zona_27-Area_72-Sottoarea_93",1,7,305,11,2014
