"prod","data","vendite_giorn_prod"
1,"2014-01-01",175.019359084179
1,"2014-01-02",378
1,"2014-01-03",402
1,"2014-01-04",111
1,"2014-01-05",57
1,"2014-01-06",8
1,"2014-01-07",551
1,"2014-01-08",680
1,"2014-01-09",749
1,"2014-01-10",772
1,"2014-01-11",237
1,"2014-01-12",96
1,"2014-01-13",584
1,"2014-01-14",772
1,"2014-01-15",841
1,"2014-01-16",873
1,"2014-01-17",841
1,"2014-01-18",221
1,"2014-01-19",111
1,"2014-01-20",633
1,"2014-01-21",838
1,"2014-01-22",807
1,"2014-01-23",625
1,"2014-01-24",783
1,"2014-01-25",263
1,"2014-01-26",81
1,"2014-01-27",627
1,"2014-01-28",811
1,"2014-01-29",863
1,"2014-01-30",857
1,"2014-01-31",793
1,"2014-02-01",271
1,"2014-02-02",74
1,"2014-02-03",614
1,"2014-02-04",760
1,"2014-02-05",719
1,"2014-02-06",768
1,"2014-02-07",818
1,"2014-02-08",289
1,"2014-02-09",74
1,"2014-02-10",639
1,"2014-02-11",816
1,"2014-02-12",832
1,"2014-02-13",866
1,"2014-02-14",812
1,"2014-02-15",285
1,"2014-02-16",81
1,"2014-02-17",671
1,"2014-02-18",828
1,"2014-02-19",860
1,"2014-02-20",826
1,"2014-02-21",822
1,"2014-02-22",209
1,"2014-02-23",151
1,"2014-02-24",614
1,"2014-02-25",922
1,"2014-02-26",792
1,"2014-02-27",965
1,"2014-02-28",867
1,"2014-03-01",293
1,"2014-03-02",65
1,"2014-03-03",603
1,"2014-03-04",776
1,"2014-03-05",797
1,"2014-03-06",814
1,"2014-03-07",721
1,"2014-03-08",347
1,"2014-03-09",69
1,"2014-03-10",618
1,"2014-03-11",785
1,"2014-03-12",846
1,"2014-03-13",762
1,"2014-03-14",822
1,"2014-03-15",300
1,"2014-03-16",81
1,"2014-03-17",623
1,"2014-03-18",786
1,"2014-03-19",826.858176802113
1,"2014-03-20",811.796676953151
1,"2014-03-21",814.755345193353
1,"2014-03-22",219.797903017893
1,"2014-03-23",106.284179724641
1,"2014-03-24",645.799634165127
1,"2014-03-25",809.452557402401
1,"2014-03-26",946
1,"2014-03-27",776
1,"2014-03-28",864
1,"2014-03-29",210
1,"2014-03-30",166
1,"2014-03-31",618
1,"2014-04-01",740
1,"2014-04-02",906
1,"2014-04-03",756
1,"2014-04-04",741
1,"2014-04-05",204
1,"2014-04-06",38
1,"2014-04-07",612
1,"2014-04-08",762
1,"2014-04-09",1141
1,"2014-04-10",743
1,"2014-04-11",742
1,"2014-04-12",185
1,"2014-04-13",267
1,"2014-04-14",621
1,"2014-04-15",723
1,"2014-04-16",763
1,"2014-04-17",725
1,"2014-04-18",998
1,"2014-04-19",177
1,"2014-04-20",48
1,"2014-04-21",2
1,"2014-04-22",659
1,"2014-04-23",670
1,"2014-04-24",705
1,"2014-04-25",119
1,"2014-04-26",29
1,"2014-04-27",44
1,"2014-04-28",577
1,"2014-04-29",680
1,"2014-04-30",711
1,"2014-05-01",470
1,"2014-05-02",393
1,"2014-05-03",167
1,"2014-05-04",45
1,"2014-05-05",570
1,"2014-05-06",680
1,"2014-05-07",695
1,"2014-05-08",678
1,"2014-05-09",677
1,"2014-05-10",88
1,"2014-05-11",596
1,"2014-05-12",582
1,"2014-05-13",731
1,"2014-05-14",725
1,"2014-05-15",770
1,"2014-05-16",734
1,"2014-05-17",214
1,"2014-05-18",54
1,"2014-05-19",558
1,"2014-05-20",716
1,"2014-05-21",745
1,"2014-05-22",749
1,"2014-05-23",718
1,"2014-05-24",183
1,"2014-05-25",40
