"data","prod","zona","area","sottoarea","vendite","giorno_mese","giorno_settimana","giorno_anno","mese","settimana_anno","anno","weekend","stagione","key","primo_del_mese","sp_anno","sp_mese","sp_settimana","vendite_missing","latitudine","longitudine","cluster3","cluster6","cluster20","vacanza","vendite_giorn_prod","vendite_giorn_tot"
2016-05-10,1,21,57,1,3.13263440132141,10,2,131,5,19,2016,0,2,"21-57-1",0,339,20,8,0,37.5725143333333,14.2033541176471,3,6,17,0,792,1205
2016-05-11,1,21,57,1,3.02021861076355,11,3,132,5,19,2016,0,2,"21-57-1",0,341,22,10,0,37.5725143333333,14.2033541176471,3,6,17,0,919,1279
2016-05-12,1,21,57,1,2.80325865745544,12,4,133,5,19,2016,0,2,"21-57-1",0,345,26,14,0,37.5725143333333,14.2033541176471,3,6,17,0,877,1306
2016-05-13,1,21,57,1,3.22619843482971,13,5,134,5,20,2016,0,2,"21-57-1",0,348,29,0,0,37.5725143333333,14.2033541176471,3,6,17,0,816,1251
2016-05-14,1,21,57,1,0.70784604549408,14,6,135,5,20,2016,1,2,"21-57-1",0,350,31,2,0,37.5725143333333,14.2033541176471,3,6,17,0,53,290
2016-05-15,1,21,57,1,0.377919614315033,15,7,136,5,20,2016,1,2,"21-57-1",0,351,32,3,0,37.5725143333333,14.2033541176471,3,6,17,0,9,70
2016-05-16,1,21,57,1,3.3257999420166,16,1,137,5,20,2016,0,2,"21-57-1",0,351,32,3,0,37.5725143333333,14.2033541176471,3,6,17,0,976,1274
2016-05-17,1,21,57,1,3.14807534217834,17,2,138,5,20,2016,0,2,"21-57-1",0,355,36,7,0,37.5725143333333,14.2033541176471,3,6,17,0,858,1226
2016-05-18,1,21,57,1,2.84926772117615,18,3,139,5,20,2016,0,2,"21-57-1",0,359,40,11,0,37.5725143333333,14.2033541176471,3,6,17,0,909,1216
2016-05-19,1,21,57,1,2.57896494865417,19,4,140,5,20,2016,0,2,"21-57-1",0,361,42,13,0,37.5725143333333,14.2033541176471,3,6,17,0,465,829
2016-05-10,1,21,57,2,5.19356441497803,10,2,131,5,19,2016,0,2,"21-57-2",0,565,35,14,0,37.3371075151515,13.5432962424242,3,6,17,0,792,1205
2016-05-11,1,21,57,2,5.02937698364258,11,3,132,5,19,2016,0,2,"21-57-2",0,570,40,19,0,37.3371075151515,13.5432962424242,3,6,17,0,919,1279
2016-05-12,1,21,57,2,4.98791599273682,12,4,133,5,19,2016,0,2,"21-57-2",0,576,46,25,0,37.3371075151515,13.5432962424242,3,6,17,0,877,1306
2016-05-13,1,21,57,2,5.31802940368652,13,5,134,5,20,2016,0,2,"21-57-2",0,582,52,0,0,37.3371075151515,13.5432962424242,3,6,17,0,816,1251
2016-05-14,1,21,57,2,1.57392263412476,14,6,135,5,20,2016,1,2,"21-57-2",0,586,56,4,0,37.3371075151515,13.5432962424242,3,6,17,0,53,290
2016-05-15,1,21,57,2,0.923279225826263,15,7,136,5,20,2016,1,2,"21-57-2",0,587,57,5,0,37.3371075151515,13.5432962424242,3,6,17,0,9,70
2016-05-16,1,21,57,2,5.43431901931763,16,1,137,5,20,2016,0,2,"21-57-2",0,587,57,5,0,37.3371075151515,13.5432962424242,3,6,17,0,976,1274
2016-05-17,1,21,57,2,5.27840995788574,17,2,138,5,20,2016,0,2,"21-57-2",0,594,64,12,0,37.3371075151515,13.5432962424242,3,6,17,0,858,1226
2016-05-18,1,21,57,2,4.98972463607788,18,3,139,5,20,2016,0,2,"21-57-2",0,601,71,19,0,37.3371075151515,13.5432962424242,3,6,17,0,909,1216
2016-05-19,1,21,57,2,4.80208539962769,19,4,140,5,20,2016,0,2,"21-57-2",0,606,76,24,0,37.3371075151515,13.5432962424242,3,6,17,0,465,829
