"Zona","Area","Sottoarea","Categoria_prodotto","Data","Vendite"
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-20",2.15375213273155
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-21",0.788149537321551
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-22",0.577302623698373
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-23",3.10689593998296
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-24",2.80199061368224
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-25",2.90645771176227
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-26",2.88081141788936
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-27",2.91439857342501
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-28",1.05603204241804
"Zona_21","Area_57","Sottoarea_1","Prodotto_1","2016-05-29",0.658618863026974
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-20",1.81172539232114
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-21",1.05557505100202
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-22",0.468147546962102
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-23",1.52644477519281
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-24",1.91937163214202
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-25",1.80718916745403
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-26",1.90922781197793
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-27",1.97186075682491
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-28",1.03216839653274
"Zona_21","Area_57","Sottoarea_1","Prodotto_2","2016-05-29",0.465650362243793
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-20",4.4158459191415
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-21",1.36023335012578
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-22",0.824483754374723
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-23",5.037398756236
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-24",5.07230490463467
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-25",5.34477681261869
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-26",5.12719807732598
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-27",5.21798974360911
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-28",1.85369370894641
"Zona_13","Area_33","Sottoarea_10","Prodotto_1","2016-05-29",0.831431847636379
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-20",2.3486334838427
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-21",1.48549476687515
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-22",0.677666861892942
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-23",1.82622303070419
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-24",2.19336004032221
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-25",2.48525752704099
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-26",2.56444162592998
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-27",2.32665420695052
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-28",1.31480522717969
"Zona_13","Area_33","Sottoarea_10","Prodotto_2","2016-05-29",0.615806368975344
"Zona_7","Area_16","Sottoarea_100","Prodotto_1","2016-05-20",5.20865701598848
"Zona_7","Area_16","Sottoarea_100","Prodotto_1","2016-05-21",1.53768856924919
