"Zona","Area","Sottoarea","Categoria_prodotto","Data","Vendite"
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-20",7.23204642429916
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-21",2.79594527361394
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-22",1.92861332928994
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-23",7.99737849451083
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-24",7.91686137194103
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-25",7.96657847356389
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-26",7.64764518826156
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-27",7.83564620079311
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-28",3.15415426656625
"Zona_1","Area_1","Sottoarea_5","Prodotto_1","2016-05-29",2.11207839321316
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-20",3.80209461103706
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-21",2.64129874924661
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-22",1.62503011739238
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-23",3.08527733976265
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-24",3.57893981377942
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-25",3.57942027699747
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-26",3.77157626846907
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-27",3.74322005399186
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-28",2.24585736561986
"Zona_1","Area_1","Sottoarea_5","Prodotto_2","2016-05-29",1.26440385859809
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-20",0.677237271363963
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-21",0.288305398704068
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-22",0.221892770970092
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-23",1.02976918927238
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-24",0.938889988651042
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-25",1.00849869348465
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-26",0.853633391657958
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-27",0.869644052353754
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-28",0.292071853044655
"Zona_1","Area_1","Sottoarea_6","Prodotto_1","2016-05-29",0.224818893962198
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-20",0.422267148790995
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-21",0.415905434449713
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-22",0.247431959951639
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-23",0.381028940330396
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-24",0.450734383306015
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-25",0.339813194922819
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-26",0.483719515623418
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-27",0.327714108814529
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-28",0.189055217210765
"Zona_1","Area_1","Sottoarea_6","Prodotto_2","2016-05-29",0.0942445104157244
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-20",2.33781892638614
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-21",0.918665791647547
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-22",0.519728845003715
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-23",2.76701881983607
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-24",2.72747234983034
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-25",2.79511385605956
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-26",2.76695131928482
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-27",2.79808587161616
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-28",1.04241037317435
"Zona_1","Area_2","Sottoarea_7","Prodotto_1","2016-05-29",0.546584870597116
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-20",2.16875426978321
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-21",1.83385384949097
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-22",1.14595980229578
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-23",1.48974072328643
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-24",1.81644633177123
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-25",2.15368612340665
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-26",2.20205276425529
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-27",2.06939543329979
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-28",1.55806896697388
"Zona_1","Area_2","Sottoarea_7","Prodotto_2","2016-05-29",0.86322753093602
"Zona_1","Area_2","Sottoarea_8","Prodotto_1","2016-05-20",5.14986931906703
"Zona_1","Area_2","Sottoarea_8","Prodotto_1","2016-05-21",1.95421912815465
"Zona_1","Area_2","Sottoarea_8","Prodotto_1","2016-05-22",1.41636921836138
