"prod","sottoarea","data","vendite"
1,1,"2016-05-21",1.87961593825997
1,1,"2016-05-22",1.61967671981071
1,1,"2016-05-23",2.87476265750146
1,1,"2016-05-20",2.80857047919202
1,1,"2016-05-25",2.80930733386786
1,1,"2016-05-26",2.80468731172534
1,1,"2016-05-27",2.85374470281748
1,1,"2016-05-24",2.8595919761344
2,1,"2016-05-20",1.87325873262765
2,1,"2016-05-21",1.48834117548668
2,1,"2016-05-22",1.17105063825509
2,1,"2016-05-23",1.65173554594425
2,1,"2016-05-24",1.85905288292575
2,1,"2016-05-25",1.79298005626554
2,1,"2016-05-26",1.83997203098258
2,1,"2016-05-27",1.92458944959027
2,1,"2016-05-28",1.40431243626446
2,1,"2016-05-29",1.19017695130626
1,1,"2016-05-29",1.66360863731453
1,1,"2016-05-28",1.90609126247161
2,2,"2016-05-21",2.18337773256067
2,2,"2016-05-22",1.85309654786884
2,2,"2016-05-23",2.41231060044461
2,2,"2016-05-25",2.73571618843043
2,2,"2016-05-26",2.79757829364806
2,2,"2016-05-27",2.71472522859451
2,2,"2016-05-24",2.79808559815287
2,2,"2016-05-29",1.75850330991403
1,2,"2016-05-29",2.83326625927027
1,2,"2016-05-21",3.21903284753438
2,2,"2016-05-28",1.96173390754441
2,2,"2016-05-20",2.91543960579781
1,2,"2016-05-20",4.82125367256579
1,2,"2016-05-25",4.79269092712448
1,2,"2016-05-22",2.77387504345178
1,2,"2016-05-23",4.87586374564457
1,2,"2016-05-24",4.85973680681632
1,2,"2016-05-26",4.76349939249132
1,2,"2016-05-27",4.91351033174014
1,2,"2016-05-28",3.27444983353593
2,3,"2016-05-21",0.442247519446629
2,3,"2016-05-22",0.370701708949541
2,3,"2016-05-23",0.46079221951599
2,3,"2016-05-25",0.586351849402339
2,3,"2016-05-26",0.597535891106957
2,3,"2016-05-27",0.544823156840632
2,3,"2016-05-24",0.591211146758767
2,3,"2016-05-20",0.561957397124855
1,3,"2016-05-20",1.57484908869469
1,3,"2016-05-21",0.906212495165546
1,3,"2016-05-22",0.810046589071831
1,3,"2016-05-23",1.55094510634353
1,3,"2016-05-24",1.48010167931442
1,3,"2016-05-25",1.52042098416029
1,3,"2016-05-26",1.51734155761547
1,3,"2016-05-27",1.54969930199081
1,3,"2016-05-28",0.890738280905762
1,3,"2016-05-29",0.82683017563266
2,3,"2016-05-29",0.333513862538706
2,3,"2016-05-28",0.352223277921853
1,4,"2016-05-21",2.85440816539864
1,4,"2016-05-22",2.49974645575777
1,4,"2016-05-20",4.92489937521455
1,4,"2016-05-25",5.12473782791143
1,4,"2016-05-26",5.02507462439516
1,4,"2016-05-23",5.04337494694398
1,4,"2016-05-24",5.02325156091346
1,4,"2016-05-29",2.62371506737761
2,4,"2016-05-21",1.48779669685453
1,4,"2016-05-27",5.0725180617563
1,4,"2016-05-28",2.91891970134725
2,4,"2016-05-20",1.90415165900559
2,4,"2016-05-25",1.81098142702755
2,4,"2016-05-22",1.22100467639081
2,4,"2016-05-23",1.43325186916213
2,4,"2016-05-24",1.80152419598531
2,4,"2016-05-29",1.14301167101632
2,4,"2016-05-26",1.86897199975017
2,4,"2016-05-27",1.79984524447213
2,4,"2016-05-28",1.35499401084452
1,5,"2016-05-20",7.76458920091951
1,5,"2016-05-21",5.09303941795325
1,5,"2016-05-22",4.61262396779465
1,5,"2016-05-23",7.86157923984426
1,5,"2016-05-24",7.93354693003344
1,5,"2016-05-25",7.89957633498099
1,5,"2016-05-26",7.70589964864257
1,5,"2016-05-27",7.78108761168989
1,5,"2016-05-28",5.14788795580418
1,5,"2016-05-29",4.68137329852691
2,5,"2016-05-21",2.82174497167999
2,5,"2016-05-22",2.50531631741272
2,5,"2016-05-23",3.19687636585519
2,5,"2016-05-20",3.72795536433574
2,5,"2016-05-25",3.71157941648417
2,5,"2016-05-26",3.78327988043681
2,5,"2016-05-27",3.81745345788303
2,5,"2016-05-24",3.68783167247388
2,5,"2016-05-29",2.58492116299036
2,5,"2016-05-28",2.90476973825824
1,6,"2016-05-21",0.618092127830349
1,6,"2016-05-22",0.592994134056863
1,6,"2016-05-20",1.0202966141761
2,6,"2016-05-20",0.464697774161645
2,6,"2016-05-21",0.436205385758527
2,6,"2016-05-22",0.324869573076624
1,6,"2016-05-23",1.10042864137427
1,6,"2016-05-24",1.08100342766167
1,6,"2016-05-25",1.09717908531659
1,6,"2016-05-26",1.04851485632329
1,6,"2016-05-27",1.06714990133425
1,6,"2016-05-28",0.653623172666304
1,6,"2016-05-29",0.600814009225674
2,6,"2016-05-25",0.431310724846414
2,6,"2016-05-26",0.444624623422991
2,6,"2016-05-23",0.402998519381842
2,6,"2016-05-24",0.455730800080661
2,6,"2016-05-29",0.294039155532666
2,6,"2016-05-27",0.435112236158745
2,6,"2016-05-28",0.411938449538856
1,7,"2016-05-21",2.03269651059335
1,7,"2016-05-20",2.97742653908787
1,7,"2016-05-25",3.02839885564516
1,7,"2016-05-22",1.71976827811428
1,7,"2016-05-23",2.94419954079678
1,7,"2016-05-24",2.99969140539955
2,7,"2016-05-20",2.27845455894497
2,7,"2016-05-21",1.72928610785825
2,7,"2016-05-22",1.38953207911337
2,7,"2016-05-23",1.49582714530195
2,7,"2016-05-24",2.02888566703306
2,7,"2016-05-25",2.20744064514453
2,7,"2016-05-26",2.27184873517709
2,7,"2016-05-27",2.34002530330895
2,7,"2016-05-28",1.77111077233435
2,7,"2016-05-29",1.45860137836491
1,7,"2016-05-29",1.75201868569466
1,7,"2016-05-26",2.95976891379058
1,7,"2016-05-27",2.95981758633119
1,7,"2016-05-28",2.04708550371936
2,8,"2016-05-21",2.33410745804392
2,8,"2016-05-25",2.62889727114873
2,8,"2016-05-22",1.85926131229936
2,8,"2016-05-23",2.48300476183856
2,8,"2016-05-24",2.68448870489112
2,8,"2016-05-29",1.81839966097207
2,8,"2016-05-26",2.77838139853732
2,8,"2016-05-27",2.75672040295302
2,8,"2016-05-28",2.24046261615621
