"prod","sottoarea","data","vendite"
1,1,"2016-05-21",0
1,1,"2016-05-22",0
1,1,"2016-05-23",3.47068810462952
1,1,"2016-05-20",1.30882620811462
1,1,"2016-05-25",2.94643616676331
1,1,"2016-05-26",2.84233069419861
1,1,"2016-05-27",2.87136316299438
1,1,"2016-05-24",2.60540795326233
2,1,"2016-05-20",1.50320732593536
2,1,"2016-05-21",0.676410675048828
2,1,"2016-05-22",0.0983883440494537
2,1,"2016-05-23",1.76072096824646
2,1,"2016-05-24",1.75215578079224
2,1,"2016-05-25",1.90075469017029
2,1,"2016-05-26",1.96466565132141
2,1,"2016-05-27",1.83244729042053
2,1,"2016-05-28",0.617905974388123
2,1,"2016-05-29",0.0360728204250336
1,1,"2016-05-29",0.123047888278961
1,1,"2016-05-28",0.550147175788879
2,2,"2016-05-21",1.06165671348572
2,2,"2016-05-22",0.387434899806976
2,2,"2016-05-23",2.53806638717651
2,2,"2016-05-25",2.74462199211121
2,2,"2016-05-26",2.75790405273438
2,2,"2016-05-27",2.63133120536804
2,2,"2016-05-24",2.65508770942688
2,2,"2016-05-29",0.314394652843475
1,2,"2016-05-29",0.330977946519852
1,2,"2016-05-21",0
2,2,"2016-05-28",0.992426991462708
2,2,"2016-05-20",2.31281232833862
1,2,"2016-05-20",3.07543516159058
1,2,"2016-05-25",4.81082153320312
1,2,"2016-05-22",0
1,2,"2016-05-23",5.09722328186035
1,2,"2016-05-24",4.68184471130371
1,2,"2016-05-26",4.69173192977905
1,2,"2016-05-27",4.62724494934082
1,2,"2016-05-28",1.08975267410278
2,3,"2016-05-21",0.291194289922714
2,3,"2016-05-22",0.179039388895035
2,3,"2016-05-23",0
2,3,"2016-05-25",0.362481534481049
2,3,"2016-05-26",0.267577916383743
2,3,"2016-05-27",0.0810579657554626
2,3,"2016-05-24",0.141701340675354
2,3,"2016-05-20",0
1,3,"2016-05-20",0
1,3,"2016-05-21",0
1,3,"2016-05-22",0
1,3,"2016-05-23",1.82710146903992
1,3,"2016-05-24",1.50325334072113
1,3,"2016-05-25",1.70981669425964
1,3,"2016-05-26",1.48113536834717
1,3,"2016-05-27",1.21873831748962
1,3,"2016-05-28",0
1,3,"2016-05-29",0
2,3,"2016-05-29",0
2,3,"2016-05-28",0
1,4,"2016-05-21",0
1,4,"2016-05-22",0
1,4,"2016-05-20",3.49484729766846
1,4,"2016-05-25",5.50881147384644
1,4,"2016-05-26",5.30375289916992
1,4,"2016-05-23",5.70218181610107
1,4,"2016-05-24",5.34382009506226
1,4,"2016-05-29",0
2,4,"2016-05-21",1.02862501144409
1,4,"2016-05-27",4.90289640426636
1,4,"2016-05-28",0.703626155853271
2,4,"2016-05-20",1.53887844085693
2,4,"2016-05-25",2.04025077819824
2,4,"2016-05-22",0.288961350917816
2,4,"2016-05-23",1.7927770614624
2,4,"2016-05-24",1.84749293327332
2,4,"2016-05-29",0.0210375487804413
2,4,"2016-05-26",1.92776274681091
2,4,"2016-05-27",1.82829833030701
2,4,"2016-05-28",0.891064763069153
1,5,"2016-05-20",6.05219173431396
1,5,"2016-05-21",0.803035259246826
1,5,"2016-05-22",0
1,5,"2016-05-23",7.92601919174194
1,5,"2016-05-24",7.73226308822632
1,5,"2016-05-25",8.15929412841797
1,5,"2016-05-26",7.79862213134766
1,5,"2016-05-27",7.66327142715454
1,5,"2016-05-28",2.2698540687561
1,5,"2016-05-29",0.666126489639282
2,5,"2016-05-21",2.57744145393372
2,5,"2016-05-22",1.45011925697327
2,5,"2016-05-23",3.18874669075012
2,5,"2016-05-20",3.82727146148682
2,5,"2016-05-25",3.89633274078369
2,5,"2016-05-26",3.71052980422974
2,5,"2016-05-27",3.57034659385681
2,5,"2016-05-24",3.39016938209534
2,5,"2016-05-29",0.600339531898499
2,5,"2016-05-28",1.84158563613892
1,6,"2016-05-21",0
1,6,"2016-05-22",0
1,6,"2016-05-20",0
2,6,"2016-05-20",0.411886036396027
2,6,"2016-05-21",0.48446586728096
2,6,"2016-05-22",0.347829520702362
1,6,"2016-05-23",1.59076762199402
1,6,"2016-05-24",1.21369183063507
1,6,"2016-05-25",1.37926912307739
1,6,"2016-05-26",1.03693270683289
1,6,"2016-05-27",0.957783579826355
1,6,"2016-05-28",0
1,6,"2016-05-29",0
2,6,"2016-05-25",0.340795516967773
2,6,"2016-05-26",0.132282793521881
2,6,"2016-05-23",0.319618135690689
2,6,"2016-05-24",0.054791659116745
2,6,"2016-05-29",0
2,6,"2016-05-27",0
2,6,"2016-05-28",0
1,7,"2016-05-21",0
1,7,"2016-05-20",1.22710633277893
1,7,"2016-05-25",3.29767107963562
1,7,"2016-05-22",0
1,7,"2016-05-23",3.43023633956909
1,7,"2016-05-24",2.85437035560608
2,7,"2016-05-20",1.7983330488205
2,7,"2016-05-21",1.49102067947388
2,7,"2016-05-22",0.895301103591919
2,7,"2016-05-23",1.33324062824249
2,7,"2016-05-24",1.33356785774231
2,7,"2016-05-25",1.85599982738495
2,7,"2016-05-26",1.6474871635437
2,7,"2016-05-27",1.44236183166504
2,7,"2016-05-28",0.721529245376587
2,7,"2016-05-29",0.0118834972381592
1,7,"2016-05-29",0
