round, train-rmse, test-rmse,
3,3.183669,3.450035,
4,3.031457,3.278254,
5,2.899723,3.131932,
6,2.789542,3.003863,
7,2.687432,2.888069,
8,2.603317,2.759051,
9,2.535453,2.662257,
10,2.470038,2.581480,
11,2.413482,2.521015,
12,2.363265,2.459418,
13,2.315573,2.411419,
14,2.282039,2.360583,
15,2.245679,2.324425,
16,2.221506,2.300785,
17,2.192973,2.265792,
18,2.166060,2.239617,
19,2.146042,2.223231,
20,2.130273,2.217219,
21,2.104224,2.181237,
22,2.084660,2.163959,
23,2.046481,2.124855,
24,2.033187,2.123513,
25,2.019401,2.104435,
26,1.987634,2.073523,
27,1.977908,2.073338,
28,1.956817,2.052026,
29,1.951206,2.046116,
30,1.933475,2.028643,
31,1.925591,2.029171,
32,1.916782,2.018812,
33,1.909962,2.019950,
34,1.891644,2.000663,
35,1.883729,1.993598,
36,1.868608,1.977612,
37,1.861892,1.970973,
38,1.855486,1.964923,
39,1.848698,1.965621,
40,1.843344,1.961003,
41,1.827308,1.945418,
42,1.821231,1.946500,
43,1.805761,1.928672,
44,1.801699,1.924326,
45,1.793860,1.918822,
46,1.783627,1.908261,
47,1.778446,1.908586,
48,1.768944,1.895534,
49,1.764702,1.891636,
50,1.760624,1.892030,
51,1.747148,1.879927,
52,1.733032,1.861802,
53,1.726339,1.855367,
54,1.720510,1.849630,
55,1.706762,1.831661,
56,1.702073,1.827608,
57,1.698635,1.827256,
58,1.694077,1.822343,
59,1.689777,1.819474,
60,1.677147,1.806108,
61,1.673971,1.803714,
62,1.670514,1.804148,
63,1.655899,1.785596,
64,1.647413,1.778921,
65,1.643452,1.772435,
66,1.638534,1.767534,
67,1.635362,1.764136,
68,1.632725,1.764133,
69,1.625376,1.753855,
70,1.619341,1.746790,
71,1.610617,1.737535,
72,1.602274,1.728103,
73,1.597064,1.722378,
74,1.588643,1.713324,
75,1.585994,1.713700,
76,1.583560,1.711078,
77,1.577055,1.703133,
78,1.572898,1.698253,
79,1.570544,1.696158,
80,1.569462,1.695083,
81,1.567581,1.693093,
82,1.565153,1.690801,
83,1.562892,1.690490,
84,1.557601,1.684974,
85,1.553731,1.678848,
86,1.549810,1.674932,
87,1.545396,1.669708,
88,1.543422,1.669271,
89,1.540902,1.669223,
90,1.538063,1.665256,
91,1.530517,1.656987,
92,1.527711,1.654569,
93,1.522671,1.648799,
94,1.521891,1.648038,
95,1.518397,1.649569,
96,1.516951,1.647965,
97,1.514614,1.644684,
98,1.512387,1.644423,
99,1.508980,1.640851,
100,1.507766,1.639092,
101,1.506587,1.637521,
102,1.501615,1.630702,
103,1.500476,1.629244,
104,1.494997,1.623757,
105,1.493992,1.622807,
106,1.492272,1.622586,
107,1.491134,1.621358,
108,1.490170,1.620534,
109,1.488111,1.618475,
110,1.483267,1.612935,
111,1.481430,1.612841,
112,1.478043,1.608117,
113,1.475365,1.604780,
114,1.471273,1.599841,
115,1.469711,1.598232,
116,1.465022,1.594664,
117,1.464011,1.594662,
118,1.463202,1.593981,
119,1.459904,1.588239,
120,1.457698,1.585763,
121,1.455770,1.583526,
122,1.455029,1.582923,
123,1.452368,1.578398,
124,1.450752,1.578300,
125,1.449401,1.575440,
126,1.445239,1.570624,
127,1.444091,1.570341,
128,1.441803,1.567970,
129,1.440188,1.566814,
130,1.438936,1.565284,
131,1.437904,1.563214,
132,1.436409,1.549898,
133,1.435701,1.549230,
134,1.434720,1.548584,
135,1.433428,1.547646,
136,1.432357,1.547518,
137,1.431447,1.547354,
138,1.430074,1.536646,
139,1.427421,1.533795,
140,1.426877,1.533271,
141,1.426529,1.532842,
142,1.425106,1.531310,
143,1.422740,1.528834,
144,1.422011,1.528494,
145,1.421568,1.527910,
146,1.420651,1.527206,
147,1.419220,1.521411,
148,1.416975,1.518840,
149,1.414825,1.516184,
150,1.413735,1.515367,
151,1.411481,1.512821,
152,1.410345,1.511314,
153,1.408667,1.509552,
154,1.408034,1.509682,
155,1.407313,1.508796,
156,1.406536,1.508092,
157,1.404787,1.505435,
158,1.402212,1.501928,
159,1.401677,1.501849,
160,1.400141,1.499736,
161,1.399132,1.499134,
162,1.397674,1.493383,
163,1.397151,1.492438,
164,1.395148,1.491087,
165,1.394692,1.490770,
166,1.393969,1.489778,
167,1.392968,1.489536,
168,1.391643,1.487463,
169,1.391279,1.487042,
170,1.390636,1.486545,
171,1.390180,1.486124,
172,1.389104,1.486320,
173,1.387834,1.485210,
174,1.386641,1.483910,
175,1.385515,1.482803,
176,1.384576,1.482433,
177,1.383255,1.481923,
178,1.381822,1.481338,
179,1.381000,1.480826,
180,1.380566,1.480676,
181,1.379523,1.478716,
182,1.378534,1.478386,
183,1.377817,1.478253,
184,1.377311,1.478240,
